index,Date,Region,Thermal Generation Actual (in MU),Thermal Generation Estimated (in MU),Nuclear Generation Actual (in MU),Nuclear Generation Estimated (in MU),Hydro Generation Actual (in MU),Hydro Generation Estimated (in MU)
0,2017-09-01,Northern,624.23,484.21,30.36,35.57,273.27,320.81
1,2017-09-01,Western,"1,106.89","1,024.33",25.17,3.81,72.0,21.53
2,2017-09-01,Southern,576.66,578.55,62.73,49.8,111.57,64.78
3,2017-09-01,Eastern,441.02,429.39,,,85.94,69.36
4,2017-09-01,NorthEastern,29.11,15.91,,,24.64,21.21
5,2017-09-02,Northern,624.23,507.42,30.36,35.69,273.27,317.19
6,2017-09-02,Western,"1,106.89","1,050.91",25.17,3.83,72.0,23.97
7,2017-09-02,Southern,576.66,562.79,62.73,52.76,111.57,59.49
8,2017-09-02,Eastern,441.02,425.75,,,85.94,74.18
9,2017-09-02,NorthEastern,29.11,16.50,,,24.64,20.81
10,2017-09-03,Northern,624.23,492.69,30.36,35.65,273.27,316.69
11,2017-09-03,Western,"1,106.89","1,066.73",25.17,3.8,72.0,13.94
12,2017-09-03,Southern,572.16,530.68,62.73,53.12,111.57,47.53
13,2017-09-03,Eastern,445.38,427.61,,,85.94,71.05
14,2017-09-03,NorthEastern,29.11,15.52,,,24.64,23.84
15,2017-09-04,Northern,624.23,568.34,30.36,35.62,273.27,297.47
16,2017-09-04,Western,"1,106.89","1,115.43",25.17,3.81,72.0,37.38
17,2017-09-04,Southern,572.16,562.81,62.73,53.19,111.57,66.2
18,2017-09-04,Eastern,445.38,450.85,,,85.94,75.21
19,2017-09-04,NorthEastern,29.11,16.85,,,24.64,24.1
20,2017-09-05,Northern,628.58,597.08,30.36,35.72,273.27,290.23
21,2017-09-05,Western,"1,106.89","1,131.78",25.17,3.83,72.0,28.78
22,2017-09-05,Southern,576.35,575.06,62.73,53.16,111.57,58.0
23,2017-09-05,Eastern,449.92,459.09,,,85.94,70.29
24,2017-09-05,NorthEastern,29.11,16.64,,,24.64,22.86
25,2017-09-06,Northern,628.58,628.93,30.36,35.86,273.27,296.1
26,2017-09-06,Western,"1,124.57","1,171.82",25.17,3.84,72.0,40.94
27,2017-09-06,Southern,576.35,549.10,62.73,53.41,111.57,58.7
28,2017-09-06,Eastern,449.92,464.82,,,85.94,76.43
29,2017-09-06,NorthEastern,29.11,16.44,,,24.64,27.8
30,2017-09-07,Northern,628.48,651.03,30.36,35.86,273.27,298.57
31,2017-09-07,Western,"1,124.57","1,180.30",25.17,3.82,72.0,48.25
32,2017-09-07,Southern,585.98,565.52,62.73,53.41,111.57,55.52
33,2017-09-07,Eastern,449.92,461.96,,,85.94,75.34
34,2017-09-07,NorthEastern,29.11,20.71,,,24.64,24.12
35,2017-09-08,Northern,628.48,689.88,30.36,35.68,273.27,289.16
36,2017-09-08,Western,"1,124.57","1,189.75",25.17,3.83,72.0,35.86
37,2017-09-08,Southern,590.63,549.88,62.73,53.65,111.57,66.92
38,2017-09-08,Eastern,455.66,454.88,,,85.94,81.48
39,2017-09-08,NorthEastern,29.11,20.85,,,24.64,24.32
40,2017-09-09,Northern,631.16,717.43,30.36,35.58,273.27,278.05
41,2017-09-09,Western,"1,128.66","1,204.61",25.17,3.87,72.0,38.57
42,2017-09-09,Southern,589.74,549.44,62.73,53.78,111.57,72.25
43,2017-09-09,Eastern,455.66,455.25,,,85.94,80.46
44,2017-09-09,NorthEastern,29.11,18.92,,,24.64,24.94
45,2017-09-10,Northern,620.05,729.84,30.36,35.72,273.27,275.4
46,2017-09-10,Western,"1,131.56","1,218.51",25.17,3.84,72.0,33.9
47,2017-09-10,Southern,589.74,548.38,62.73,54.52,111.57,51.99
48,2017-09-10,Eastern,455.66,432.59,,,85.94,72.65
49,2017-09-10,NorthEastern,29.11,23.01,,,24.64,26.7
50,2017-09-11,Northern,623.30,733.92,30.36,35.66,273.27,283.93
51,2017-09-11,Western,"1,131.56","1,203.65",25.17,3.82,72.0,54.72
52,2017-09-11,Southern,589.74,574.95,62.73,54.55,111.57,83.2
53,2017-09-11,Eastern,455.66,435.21,,,85.94,77.93
54,2017-09-11,NorthEastern,29.11,23.32,,,24.64,22.78
55,2017-09-12,Northern,623.30,739.87,30.36,34.56,273.27,271.18
56,2017-09-12,Western,"1,131.56","1,194.99",25.17,3.81,72.0,74.08
57,2017-09-12,Southern,589.74,585.91,62.73,54.68,111.57,89.81
58,2017-09-12,Eastern,455.66,440.93,,,85.94,71.55
59,2017-09-12,NorthEastern,29.11,25.41,,,24.64,24.12
60,2017-09-13,Northern,628.08,753.80,30.36,30.69,273.27,263.43
61,2017-09-13,Western,"1,131.56","1,196.40",25.17,3.89,72.0,61.8
62,2017-09-13,Southern,589.74,602.26,62.73,54.85,111.57,82.27
63,2017-09-13,Eastern,455.66,450.83,,,85.94,72.06
64,2017-09-13,NorthEastern,29.11,27.89,,,24.64,25.06
65,2017-09-14,Northern,628.08,720.86,30.36,30.71,273.27,257.44
66,2017-09-14,Western,"1,131.56","1,209.96",25.17,3.86,72.0,62.05
67,2017-09-14,Southern,595.15,589.35,62.73,49.3,111.57,57.32
68,2017-09-14,Eastern,455.66,450.78,,,85.94,77.8
69,2017-09-14,NorthEastern,29.11,29.45,,,24.64,24.85
70,2017-09-15,Northern,628.08,703.60,30.36,30.66,273.27,260.56
71,2017-09-15,Western,"1,131.56","1,243.93",25.17,3.84,72.0,41.27
72,2017-09-15,Southern,593.08,593.62,62.73,45.82,111.57,67.95
73,2017-09-15,Eastern,484.74,438.75,,,85.94,83.76
74,2017-09-15,NorthEastern,29.11,28.63,,,24.64,20.8
75,2017-09-16,Northern,628.08,728.47,30.36,30.65,273.27,246.99
76,2017-09-16,Western,"1,131.56","1,228.99",25.17,3.83,72.0,17.06
77,2017-09-16,Southern,604.96,573.85,62.73,48.14,111.57,48.77
78,2017-09-16,Eastern,486.07,443.23,,,85.94,79.07
