STATE CODE,STATE,PC NO,PARLIAMENTARY CONSTITUENCY,Total voters,Total_Electors,TOT_CONTESTANT,POLL PERCENTAGE
S01,Andhra Pradesh,1,Adilabad,864165,1131211,9,76.39
S01,Andhra Pradesh,2,Peddapalle,905332,1315642,15,68.81
S01,Andhra Pradesh,3,Karimnagar,990646,1496211,15,66.21
S01,Andhra Pradesh,4,Nizamabad,891508,1333271,12,66.87
S01,Andhra Pradesh,5,Zahirabad,1017372,1359566,10,74.83
S01,Andhra Pradesh,6,Medak,1061993,1389721,9,76.42
S01,Andhra Pradesh,7,Malkajgiri,1206223,2343050,19,51.48
S01,Andhra Pradesh,8,Secundrabad,865357,1574818,23,54.95
S01,Andhra Pradesh,9,Hyderabad,732212,1393242,23,52.55
S01,Andhra Pradesh,10,CHELVELLA,1086510,1681664,15,64.61
S01,Andhra Pradesh,11,Mahbubnagar,927422,1368868,32,67.75
S01,Andhra Pradesh,12,Nagarkurnool,1026444,1460484,13,70.28
S01,Andhra Pradesh,13,Nalgonda,1079189,1455016,14,74.17
S01,Andhra Pradesh,14,Bhongir,1129421,1478391,15,76.4
S01,Andhra Pradesh,15,Warangal,1031172,1486617,15,69.36
S01,Andhra Pradesh,16,Mahabubabad,997815,1265396,12,78.85
S01,Andhra Pradesh,17,Khammam,1034532,1259815,13,82.12
S01,Andhra Pradesh,18,Aruku,792793,1182514,11,67.04
S01,Andhra Pradesh,19,Srikakulam,920282,1226125,6,75.06
S01,Andhra Pradesh,20,Vizianagaram,1019868,1323238,9,77.07
S01,Andhra Pradesh,21,Visakhapatnam,1012261,1387482,15,72.96
S01,Andhra Pradesh,22,Anakapalli,1049207,1331695,10,78.79
S01,Andhra Pradesh,23,Kakinada,967294,1265094,16,76.46
S01,Andhra Pradesh,24,Amalapuram,1023809,1275287,11,80.28
S01,Andhra Pradesh,25,Rajahmundry,1018762,1260974,13,80.79
S01,Andhra Pradesh,26,Narsapuram,992405,1173138,10,84.59
S01,Andhra Pradesh,27,Eluru,1079062,1275575,12,84.59
S01,Andhra Pradesh,28,Machilipatnam,1046522,1251053,10,83.65
S01,Andhra Pradesh,29,Vijayawada,1088749,1402315,20,77.64
S01,Andhra Pradesh,30,Guntur,1045002,1365177,10,76.55
S01,Andhra Pradesh,31,Narasaraopet,1082102,1360431,14,79.54
S01,Andhra Pradesh,32,Bapatla,1045012,1321607,10,79.07
S01,Andhra Pradesh,33,Ongole,1022823,1375558,11,74.36
S01,Andhra Pradesh,34,Nandyal,994837,1358711,21,73.22
S01,Andhra Pradesh,35,Kurnool,871554,1307312,11,66.67
S01,Andhra Pradesh,36,Anantapur,1001461,1411460,12,70.95
S01,Andhra Pradesh,37,Hindupur,1027527,1377610,10,74.59
S01,Andhra Pradesh,38,Kadapa,1026922,1347716,20,76.2
S01,Andhra Pradesh,39,Nellore,1002483,1450938,11,69.09
S01,Andhra Pradesh,40,Tirupati,1062288,1464896,10,72.52
S01,Andhra Pradesh,41,Rajampet,997317,1311449,15,76.05
S01,Andhra Pradesh,42,Chittoor,1046226,1291921,7,80.98
S02,Arunachal Pradesh,1,Arunachal West,285710,433368,4,65.93
S02,Arunachal Pradesh,2,Arunachal East,214939,301173,4,71.37
S03,Assam,1,Karimganj,685475,1068811,15,64.13
S03,Assam,2,Silchar,688546,978510,16,70.37
S03,Assam,3,Autonomous District,481235,693407,6,69.4
S03,Assam,4,Dhubri,1047047,1371949,10,76.32
S03,Assam,5,Kokrajhar,1014792,1377837,3,73.65
S03,Assam,6,Barpeta,901180,1239607,14,72.7
S03,Assam,7,Gauhati,1111259,1723860,12,64.46
S03,Assam,8,Mangaldoi,989528,1416682,13,69.85
S03,Assam,9,Tezpur,843256,1210132,15,69.68
S03,Assam,10,Nowgong,1000728,1411331,13,70.91
S03,Assam,11,Kaliabor,960778,1348371,8,71.25
S03,Assam,12,Jorhat,763742,1182349,8,64.6
S03,Assam,13,Dibrugarh,750412,1114965,10,67.3
S03,Assam,14,Lakhimpur,910950,1332518,15,68.36
S04,Bihar,1,Valmiki Nagar,599404,1275653,16,46.99
S04,Bihar,2,Paschim Champaran,515488,1220868,11,42.22
S04,Bihar,3,Purvi Champaran,482094,1187264,12,40.61
S04,Bihar,4,Sheohar,573012,1269056,15,45.15
S04,Bihar,5,Sitamarhi,576767,1355817,16,42.54
S04,Bihar,6,Madhubani,556558,1397256,14,39.83
S04,Bihar,7,Jhanjharpur,607839,1418977,11,42.84
S04,Bihar,8,Supaul,697664,1279549,16,54.52
S04,Bihar,9,Araria,730456,1311225,25,55.71
S04,Bihar,10,Kishanganj,626914,1186369,15,52.84
S04,Bihar,11,Katihar,724802,1272769,16,56.95
S04,Bihar,12,Purnia,704752,1305396,20,53.99
S04,Bihar,13,Madhepura,756460,1508361,17,50.15
S04,Bihar,14,Darbhanga,545713,1307067,14,41.75
S04,Bihar,15,Muzaffarpur,621813,1339949,24,46.41
S04,Bihar,16,Vaishali,624859,1278891,12,48.86
S04,Bihar,17,Gopalganj,504612,1349072,16,37.4
S04,Bihar,18,Siwan,641918,1282480,15,50.05
S04,Bihar,19,Maharajganj,599638,1312219,13,45.7
S04,Bihar,20,Saran,581092,1268338,12,45.82
S04,Bihar,21,Hajipur,555122,1327075,11,41.83
S04,Bihar,22,Ujiarpur,564225,1229327,22,45.9
S04,Bihar,23,Samastipur,584743,1312948,11,44.54
S04,Bihar,24,Begusarai,718297,1473263,19,48.76
S04,Bihar,25,Khagaria,625007,1342970,18,46.54
S04,Bihar,26,Bhagalpur,629139,1433346,21,43.89
S04,Bihar,27,Banka,652208,1338025,16,48.74
S04,Bihar,28,Munger,651601,1564604,20,41.65
S04,Bihar,29,Nalanda,568223,1719503,25,33.05
S04,Bihar,30,Patna Sahib,552416,1641976,16,33.64
S04,Bihar,31,Pataliputra,628306,1526241,16,41.17
S04,Bihar,32,Arrah,556410,1555122,16,35.78
S04,Bihar,33,Buxar,623655,1340892,22,46.51
S04,Bihar,34,Sasaram,599031,1402789,16,42.7
S04,Bihar,35,Karakat,577076,1386634,16,41.62
S04,Bihar,36,Jahanabad,599248,1276912,25,46.93
S04,Bihar,37,Aurangabad,598311,1376323,16,43.47
S04,Bihar,38,Gaya,564942,1329192,16,42.5
S04,Bihar,39,Nawada,581583,1397512,21,41.62
S04,Bihar,40,Jamui,535306,1404016,19,38.13
S05,Goa,1,North Goa,292414,486983,7,60.05
S05,Goa,2,South Goa,272025,533811,11,50.96
S06,Gujarat,1,Kachchh,564029,1325614,17,42.55
S06,Gujarat,2,Banaskantha,646256,1296871,15,49.83
S06,Gujarat,3,Patan,633245,1417623,16,44.67
S06,Gujarat,4,Mahesana,693332,1393970,12,49.74
S06,Gujarat,5,Sabarkantha,717615,1452240,12,49.41
S06,Gujarat,6,Gandhinagar,790744,1555709,19,50.83
S06,Gujarat,7,Ahmedabad East,597931,1411761,18,42.35
S06,Gujarat,8,Ahmedabad West,690098,1431080,16,48.22
S06,Gujarat,9,Surendranagar,586334,1475820,20,39.73
S06,Gujarat,10,Rajkot,649606,1455072,27,44.64
S06,Gujarat,11,Porbandar,660654,1385818,7,47.67
S06,Gujarat,12,Jamnagar,594604,1298599,22,45.79
S06,Gujarat,13,Junagadh,760026,1313064,16,57.88
S06,Gujarat,14,Amreli,524697,1312733,16,39.97
S06,Gujarat,15,Bhavnagar,623946,1381619,16,45.16
S06,Gujarat,16,Anand,676379,1397162,15,48.41
S06,Gujarat,17,Kheda,602787,1448571,9,41.61
S06,Gujarat,18,Panchmahal,607019,1423385,5,42.65
S06,Gujarat,19,Dahod,534423,1194821,7,44.73
S06,Gujarat,20,Vadodara,747134,1524060,7,49.02
S06,Gujarat,21,Chhota Udaipur,765323,1412306,4,54.19
S06,Gujarat,22,Bharuch,749462,1311539,15,57.14
S06,Gujarat,23,Bardoli,832543,1440215,12,57.81
S06,Gujarat,24,Surat,696382,1420969,15,49.01
S06,Gujarat,25,Navsari,757560,1623415,14,46.66
S06,Gujarat,26,Valsad,774438,1380245,7,56.11
S07,Haryana,1,Ambala,866914,1264907,7,68.54
S07,Haryana,2,Kurukshetra,875707,1166684,14,75.06
S07,Haryana,3,Sirsa,981354,1309507,15,74.94
S07,Haryana,4,Hisar,828461,1194689,38,69.35
S07,Haryana,5,Karnal,811074,1216977,23,66.65
