ST_CODE,State_name,Month,Year,PC_Number,PC_name,PC_Type,Candidate_Name,Candidate_Sex,Candidate_Category,Candidate_Age,Party_Abbreviation,Total_Votes_Polled,Position,Alliance
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,RATHOD RAMESH,M,ST,43.0,TDP,372268.0,1.0,TDP
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,KOTNAK RAMESH,M,ST,39.0,INC,257181.0,2.0,UPA
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,MESRAM NAGO RAO,M,ST,59.0,PRAP,112930.0,3.0,PRAP
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,ADE TUKARAM,M,ST,55.0,BJP,57931.0,4.0,NDA
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,RATHOD SADASHIV NAIK,M,ST,50.0,BSP,16471.0,5.0,BSP
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,BANKA SAHADEVU,M,ST,55.0,IND,16441.0,6.0,IND
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,GANTA PENTANNA,M,ST,36.0,IND,13378.0,7.0,IND
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,NETHAVAT RAMDAS,M,ST,39.0,IND,9157.0,8.0,IND
S01,Andhra Pradesh,3,2009,1,Adilabad,ST,ATHRAM LAXMAN RAO,M,ST,47.0,IND,7824.0,9.0,IND
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,DR.G.VIVEKANAND,M,SC,51.0,INC,313748.0,1.0,UPA
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,GOMASA SRINIVAS,M,SC,41.0,TRS,264731.0,2.0,TRS
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,AREPELLI DAVID RAJU,M,SC,36.0,PRAP,175605.0,3.0,PRAP
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,MATHANGI NARSIAH,M,SC,64.0,BJP,67836.0,4.0,NDA
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,S.LAXMAIAH,M,SC,41.0,IND,20263.0,5.0,IND
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,GAJJELA SWAMY,M,SC,49.0,BSP,15859.0,6.0,BSP
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,AMBALA MAHENDAR,M,SC,38.0,IND,8364.0,7.0,IND
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,G.VINAY KUMAR,M,SC,51.0,IND,6726.0,8.0,IND
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,KRISHNA SABBALI,M,SC,39.0,MCPI(S),5752.0,9.0,MCPI(S)
S01,Andhra Pradesh,3,2009,2,Peddapalle,SC,D. RAMULU,M,SC,51.0,IND,5511.0,10.0,IND
