SNo,Date,StartupName,IndustryVertical,SubVertical,City,InvestorsName,InvestmentType,AmountInUSD,Remarks,year,yearmonth,CleanedAmount
1,09/01/2020,BYJU’S,E-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,"20,00,00,000",nan,2020,2020-01-01,200000000.0
2,13/01/2020,Shuttl,Transportation,App based shuttle service,NCR,Susquehanna Growth Equity,Series C,"80,48,394",nan,2020,2020-01-01,8048394.0
3,09/01/2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,"1,83,58,860",nan,2020,2020-01-01,18358860.0
4,02/01/2020,https://www.wealthbucket.in/,FinTech,Online Investment,NCR,Vinod Khatumal,Preseries A,"30,00,000",nan,2020,2020-01-01,3000000.0
5,02/01/2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Funding,"18,00,000",nan,2020,2020-01-01,1800000.0
6,13/01/2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,"90,00,000",nan,2020,2020-01-01,9000000.0
7,10/01/2020,Zomato,Hospitality,Online Food Delivery Platform,NCR,Ant Financial,Private Equity Round,"15,00,00,000",nan,2020,2020-01-01,150000000.0
8,12/12/2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,"60,00,000",nan,2019,2019-12-01,6000000.0
9,06/12/2019,CarDekho,E-Commerce,Automobile,NCR,Ping An Global Voyager Fund,Series D,"7,00,00,000",nan,2019,2019-12-01,70000000.0
10,03/12/2019,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed,"5,00,00,000",nan,2019,2019-12-01,50000000.0
11,13/12/2019,Rivigo,Technology,Logistics Services and Solutions,NCR,"SAIF Partners, Spring Canter Investment Ltd.",Series F,"2,00,00,000",nan,2019,2019-12-01,20000000.0
12,17/12/2019,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,"1,20,00,000",nan,2019,2019-12-01,12000000.0
13,16/12/2019,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,"3,00,00,000",nan,2019,2019-12-01,30000000.0
14,16/12/2019,InCred,Finance,Non-Banking Financial Company,Mumbai,nan,Debt Funding,"59,00,000",nan,2019,2019-12-01,5900000.0
15,14/12/2019,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Funding,"20,00,000",nan,2019,2019-12-01,2000000.0
16,11/12/2019,Rein Games,Gaming,Real money based gaming startup,NCR,Manipal Education and Medical Group (MEMG),Seed Funding,"5,00,00,000",nan,2019,2019-12-01,50000000.0
17,20/12/2019,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,"23,10,00,000",nan,2019,2019-12-01,231000000.0
18,13/11/2019,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,"15,00,00,000",nan,2019,2019-11-01,150000000.0
19,14/11/2019,Misters,Health and wellness,Men's Health and Wellness brand,NCR,"Sauce.vc, Rainforest Ventures",Series B,"4,86,000",nan,2019,2019-11-01,486000.0
